+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| CYCLE  | FETCH  | DECODE | EXECUT | MEMORY | WRITE  |   r0   |   r1   |   r2   |   r3   |   r4   |   r5   |   r6   |   r7   |   r8   |   r9   |  r10   |  r11   |  r12   |  r13   |   sp   |   ra   |
|    138 | I41    | I40    | I39    | I38    | I37    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    139 | I42    | I41    | I40    | I39    | I38    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    140 | I43    | I42    | I41    | I40    | I39    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    141 | I44    | I43    | I42    | I41    | I40    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    142 | I45    | I44    | I43    | I42    | I41    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    143 | I46    | I45    | I44    | I43    | I42    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    144 | I47    | I46    | I45    | I44    | I43    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    145 | I48    | I47    | I46    | I45    | I44    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    146 | I93    |  ....  |  ....  | I46    | I45    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    147 | I94    | I93    |  ....  |  ....  | I46    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|    148 | I95    | I94    | I93    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|    149 | I96    | I95    | I94    | I93    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|    150 | I97    | I96    | I95    | I94    | I93    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|    151 | I97    | I96    |  ....  | I95    | I94    |       0|       0|       0|       0|       0|       8|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|    152 | I97    | I96    |  ....  |  ....  | I95    |       0|       0|       0|       a|       0|       8|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|    153 | I98    | I97    | I96    |  ....  |  ....  |       0|       0|       0|       a|       0|       8|       8|       8|       0|       0|       0|       0|       0|       0|       0|       0|
|    154 | I99    | I98    | I97    | I96    |  ....  |       0|       0|       0|       a|       0|       8|       8|       8|       0|       0|       0|       0|       0|       0|       0|       0|
|    155 | I99    | I98    |  ....  | I97    | I96    |       0|       0|       0|       a|       0|       8|       8|       8|       0|       0|       0|       0|       0|       0|       0|       0|
|    156 | I99    | I98    |  ....  |  ....  | I97    |       0|       0|       0|       a|       0|       8|       8|      12|       0|       0|       0|       0|       0|       0|       0|       0|
|    157 | I99    | I98    |  ....  |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|      12|       0|       0|       0|       0|       0|       0|       0|       0|
|    158 |  ....  | I99    | I98    |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|      12|       0|       0|       0|       0|       0|       0|       0|       0|
|    159 | I2     |  ....  |  ....  | I98    |  ....  |       0|  140000|       0|       a|       0|       8|       8|      12|       0|       0|       0|       0|       0|       0|       0|       0|
|    160 | I3     | I2     |  ....  |  ....  | I98    |       0|  140000|       0|       a|       0|       8|       8|      12|       0|       0|       0|       0|       0|       0|       0|       0|
|    161 | I4     | I3     | I2     |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    162 | I4     |  ....  |  ....  | I2     |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    163 | I5     | I4     |  ....  |  ....  | I2     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    164 | I6     | I5     | I4     |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    165 | I7     | I6     | I5     | I4     |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    166 | I7     | I6     |  ....  | I5     | I4     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
